,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,timestamp
6744,105.60303,4.0,0.0,0.0,0.0,0.0,27.590157,27.530125,27.793114,25.908903,28.750614,27.002657,26.988512,28.887304,27.341072,29.92419,31.189186,29.080612,30.050817,29.309055,26.789598,25.79175,26.162254,24.73054,23.58986,23.37217,23.902126,22.826988,23.868603,23.60327,21.596857,20.928482,0.0,21.458097,18.719416,20.009823,18.320768,19.099146,19.758724,16.39555,14.946253,15.002991,13.846199,14.692998,13.912456,13.521444,13.913319,13.151458,10.924333,12.9181385,10.873785,12.918811,10.012261,9.762688,10.085729,9.244374,8.153373,7.4576883,7.0950737,0.0,0.0,0.0,0.0,0.0,63.4466
6745,105.60303,4.0,0.0,0.0,0.0,0.0,27.168028,26.475069,26.986977,27.626326,28.327782,28.252401,26.156904,28.528572,28.166258,27.628958,29.62406,29.290775,29.519102,28.02036,27.987488,23.8959,26.80123,23.671923,23.158438,23.758528,24.162563,23.802229,23.795639,22.686619,21.040257,21.241648,0.0,20.921473,18.99501,19.67103,18.238363,18.426834,19.005371,16.65425,14.722361,16.017656,13.12209,14.855973,15.702315,13.697243,14.236939,14.584682,12.394662,13.046083,12.069576,12.713249,9.660955,11.836583,11.105434,10.0556755,9.350464,8.787457,7.3316026,0.0,0.0,0.0,0.0,0.0,63.452
6746,105.60303,4.0,0.0,0.0,0.0,0.0,26.49157,26.809164,24.671877,28.692314,28.115965,28.63808,26.92101,27.762365,29.844048,26.382154,27.876177,28.724514,28.720753,27.325516,27.908287,26.235472,27.807598,23.896645,24.019485,25.243721,24.704466,24.727032,23.08292,22.422705,21.545391,22.243902,0.0,19.95449,20.142937,19.426104,18.644733,17.601881,18.312117,17.563946,14.484879,16.79939,13.484181,15.583802,15.680055,14.581178,14.315025,14.164565,13.792114,12.825646,12.371861,11.834887,9.372859,11.602471,10.640544,9.517774,9.325656,8.401751,6.6401753,0.0,0.0,0.0,0.0,0.0,63.458
6747,105.60303,4.0,0.0,0.0,0.0,0.0,25.466951,26.829603,25.733826,28.285294,26.293676,27.423925,26.971899,27.177143,28.052822,26.179926,26.900835,28.24748,27.648708,26.506437,26.157606,27.742266,25.433771,23.473375,24.68838,22.914787,23.242855,22.791924,20.082867,21.238718,21.897512,20.55767,0.0,19.607933,18.836958,18.955229,17.23397,17.634708,16.819326,16.02709,14.31274,15.221792,13.978006,15.323893,13.43139,14.035637,13.264727,12.001364,12.170237,12.293134,10.992362,10.44589,9.586661,9.710738,8.924179,8.991656,7.8129025,6.8460913,6.1949015,0.0,0.0,0.0,0.0,0.0,63.4708
6748,105.60303,4.0,0.0,0.0,0.0,0.0,26.154404,27.588669,26.916668,27.772621,27.046072,27.529692,28.016,27.59671,27.57944,28.168392,28.78706,27.47303,27.947153,28.247904,26.306067,27.691341,26.778757,25.624437,24.444618,24.71473,24.090862,23.201973,22.749594,20.84666,21.072157,20.476255,0.0,20.67411,20.163395,19.158405,18.672735,17.970785,17.726545,16.732601,14.966968,15.361117,14.3610525,15.869188,13.557933,13.779229,12.425164,11.815487,11.224794,12.507465,11.047529,11.108183,10.219809,9.220175,8.507578,8.798161,7.459677,6.0476494,6.349415,0.0,0.0,0.0,0.0,0.0,63.477
6749,105.60303,4.0,0.0,0.0,0.0,0.0,24.494411,27.657574,27.605652,25.68826,26.323767,25.65313,26.829205,26.043427,27.305973,27.039791,27.848703,26.836367,27.432322,27.715256,26.275068,24.672703,25.372416,24.604439,23.35093,23.75448,22.227558,24.108171,21.75252,20.682486,20.123198,20.987543,0.0,20.012695,19.023046,18.271687,18.194565,16.079584,17.036184,15.718782,14.224272,14.454774,13.624531,15.082693,12.541683,13.294844,12.256421,11.611593,11.015577,11.220272,10.586089,10.904743,10.897503,9.760447,8.031001,8.070693,7.2004213,5.9932017,6.2960367,0.0,0.0,0.0,0.0,0.0,63.4853
6750,105.60303,4.0,0.0,0.0,0.0,0.0,23.134132,27.067339,27.471725,25.535831,25.204062,25.064066,25.640932,25.401066,26.81251,26.693201,27.262257,26.360989,26.353329,27.600172,26.159842,25.292044,24.593391,23.975256,23.511957,23.54883,22.001942,23.91813,21.357422,20.855448,20.05792,21.59094,0.0,19.126118,18.660828,17.35963,17.248915,15.768731,15.861008,15.206658,13.485556,13.691737,14.155347,14.240231,12.09562,13.038365,11.505441,10.82884,10.604187,9.777628,9.888072,10.592741,10.827037,9.770236,7.7318687,7.1745706,6.4498897,5.4749155,5.8220015,0.0,0.0,0.0,0.0,0.0,63.4913
6751,105.60303,4.0,0.0,0.0,0.0,0.0,23.678162,27.832438,26.349329,26.739786,25.462137,26.584566,25.622501,27.32411,27.22808,26.894701,27.77391,27.10931,26.194632,27.597513,27.248873,26.344927,27.005913,23.836493,24.825165,23.090965,21.995174,23.73398,22.140274,22.413395,20.370266,22.18962,0.0,18.963478,18.942247,17.193108,17.30544,16.200396,15.622527,14.018339,14.504119,13.839498,12.636735,13.523064,11.824972,12.586977,11.957921,11.22021,11.289193,9.949262,9.816959,9.67622,8.866589,10.440331,7.6854434,6.8555403,6.254486,5.7692084,5.89224,0.0,0.0,0.0,0.0,0.0,63.497
6752,105.60303,4.0,0.0,0.0,0.0,0.0,27.397488,29.954084,27.08217,29.39984,29.559965,30.004059,29.461443,31.080204,29.803373,29.554798,31.213245,29.657825,29.356882,28.9739,29.55547,29.421057,30.835106,26.377811,26.632019,25.330685,24.876347,24.958605,24.791489,24.751356,21.077818,23.660799,0.0,21.240196,21.626514,19.680372,18.996943,18.821663,17.944868,15.762978,16.687458,15.322842,13.917977,15.395999,13.793585,13.648889,13.118997,13.282152,13.282152,11.813902,11.797131,10.516922,9.129538,11.927451,9.2498255,8.468046,7.770122,7.3452005,7.111321,0.0,0.0,0.0,0.0,0.0,63.5024
6753,105.60303,4.0,0.0,0.0,0.0,0.0,22.10335,23.363207,21.022846,22.383688,23.4404,23.004782,23.266726,23.855806,23.16781,22.627811,23.78659,23.304073,23.575039,22.347975,23.125118,22.719229,23.364859,20.811478,20.210667,19.264833,18.965458,19.387354,19.152102,19.361855,16.69183,18.614515,0.0,16.116484,16.999523,15.460009,14.942655,14.725842,14.875402,12.515388,13.185687,12.398169,10.984564,12.318464,10.777561,10.783111,10.69533,10.783226,10.803992,9.691761,9.672033,8.544318,7.202268,9.447178,7.5511694,6.9834533,6.8388205,6.222996,7.6754203,0.0,0.0,0.0,0.0,0.0,63.5081
