0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
66.40831,1.8,0.0,0.0,0.0,0.0,8.210792,8.971703,10.890108,8.551213,9.194156,7.511088,8.996154,7.7386575,9.251332,10.4893675,10.652094,10.903961,11.32586,10.815239,9.694992,11.816324,10.717085,10.952056,9.727204,9.730956,9.13805,10.6595,9.702334,10.125387,9.571536,8.836485,0.0,8.570192,9.768899,8.519113,9.498522,9.121885,7.519032,7.8224287,7.993125,7.4929676,8.39254,7.96031,7.188545,7.8078074,7.985885,8.384576,8.038329,8.661521,8.095608,8.034831,9.1231985,9.548977,8.7292595,9.346653,9.862157,9.844492,10.682471,0.0,0.0,0.0,0.0,0.0
123.81746,5.8,0.0,0.0,0.0,0.0,19.59389,14.9235735,15.706185,19.572233,18.433384,21.18878,21.1981,20.469303,19.381092,18.052044,20.552073,19.787056,18.653305,19.899492,20.732742,21.51661,22.155457,18.377384,20.078978,19.86447,17.805359,18.186756,20.16433,17.386995,20.94924,18.542606,0.0,19.607773,18.417261,22.539076,18.360909,19.858614,14.923871,19.067844,19.001165,14.193655,20.005947,20.999052,15.232328,14.906561,16.56548,17.980297,18.859285,13.847751,17.8248,20.284977,16.31368,18.199526,19.886349,20.11959,20.760193,20.888647,20.636482,0.0,0.0,0.0,0.0,0.0
144.18665,12.8,0.0,0.0,0.0,0.0,20.672527,15.785085,16.440722,19.042583,21.844786,20.589262,20.762468,21.36779,19.98793,18.542652,21.427275,22.75484,20.108503,23.304493,22.467447,25.06807,24.703266,21.889704,23.063974,23.083912,19.26739,22.03643,21.623404,18.640865,23.13914,21.579935,0.0,19.261486,22.655022,20.524076,19.252907,20.323854,17.994806,19.18303,20.57428,17.549067,20.19118,21.320026,18.685995,15.754355,16.795603,17.44605,20.223618,15.022927,17.309628,19.572382,18.102945,19.461004,21.337341,20.332006,20.026575,21.969906,21.822319,0.0,0.0,0.0,0.0,0.0
140.5756,20.685715,0.0,0.0,0.0,0.0,17.626797,15.963048,13.491141,15.1566515,19.108696,17.256153,16.370733,17.30046,17.678276,18.424238,19.153591,19.808205,18.09673,19.839325,18.77085,22.57413,19.831615,22.522598,20.638592,22.702063,18.200243,22.519497,19.101934,17.173927,19.386322,18.589447,0.0,16.05832,20.869541,15.556514,15.59675,14.491418,17.254135,14.777411,19.055698,15.006866,15.986987,14.917558,16.436323,12.680934,14.256303,11.87842,14.622724,11.7725935,12.579519,14.983565,14.669369,15.106278,15.783675,15.398877,15.170823,16.932531,17.984043,0.0,0.0,0.0,0.0,0.0
122.6308,19.4,0.0,0.0,0.0,0.0,17.307375,18.87905,16.123306,15.463242,17.722218,16.018284,16.595474,15.535174,18.387161,20.176678,16.194818,18.829086,19.301678,18.073845,16.989475,20.749767,16.699738,21.905287,18.48683,21.510443,18.351906,20.85345,18.676966,18.736673,14.293995,14.132673,0.0,15.816905,18.852106,15.541754,13.686234,14.092651,15.894986,14.236874,19.515358,13.737461,16.022997,13.444278,15.116283,12.59315,14.347024,10.996549,13.155359,13.784077,12.606751,14.438928,15.384642,14.955279,9.972497,14.882265,15.134218,14.419757,17.530607,0.0,0.0,0.0,0.0,0.0
126.15682,8.885715,0.0,0.0,0.0,0.0,20.334654,20.28756,20.368109,20.601437,19.71787,21.404356,21.812193,19.879704,21.950073,21.807667,17.778297,20.930489,22.49603,19.171162,19.453903,21.510765,19.525515,21.024914,19.827227,21.10723,18.717995,19.850098,20.445555,20.987642,12.305389,11.601741,0.0,14.828178,15.299508,14.279203,14.067648,11.565422,12.869454,11.721696,14.369732,11.230245,11.543315,10.403313,9.353743,8.895717,11.299152,8.978685,10.15305,10.198803,11.269337,13.627648,11.183369,12.454454,7.119703,14.446936,15.105159,14.530697,15.994887,0.0,0.0,0.0,0.0,0.0
126.28601,2.3714285,0.0,0.0,0.0,0.0,16.53791,15.847937,18.219337,16.908184,16.726515,16.933891,17.597906,16.585619,18.531149,17.326086,14.733143,18.739511,19.805613,14.550282,16.853548,17.761576,19.304005,16.290924,19.600075,19.104849,17.466795,17.129904,19.980913,21.575945,13.83365,14.576862,0.0,14.72212,14.995401,14.123032,14.680573,14.064985,13.061447,11.819672,12.561228,11.45584,11.4540415,11.043424,10.597422,8.969319,11.636231,8.815427,11.029363,9.01797,11.381401,11.174072,10.094671,10.635974,8.92307,11.928451,12.20151,12.139733,11.583151,0.0,0.0,0.0,0.0,0.0
126.253716,4.0,0.0,0.0,0.0,0.0,10.004405,9.730442,9.941526,8.465741,9.430738,9.409581,8.563671,8.952965,12.1089525,11.698052,10.87709,12.43045,12.7249775,24.441149,24.414131,29.072462,24.824587,25.800327,26.407444,25.192614,26.60798,28.507877,26.398132,27.929422,33.334335,27.698803,0.0,32.457348,35.27888,36.757084,40.375378,35.127335,37.10078,40.097374,37.245125,40.018734,38.04214,45.97422,37.500484,43.209423,43.89599,45.516148,46.041775,49.84399,43.669556,46.39383,43.862225,46.287586,44.99171,44.35923,47.446663,44.115704,44.19348,0.0,0.0,0.0,0.0,0.0
129.52045,4.1714287,0.0,0.0,0.0,0.0,8.198902,7.2081356,6.481969,3.8379803,5.290217,4.9011207,3.002802,3.9521482,6.2107563,7.686361,7.039872,8.766968,6.4320827,25.548634,22.99626,30.04325,22.07642,26.404861,25.335546,23.09732,25.163822,28.445385,25.64225,24.268616,36.17834,27.984106,0.0,36.10057,39.737823,43.891445,46.18402,41.16724,43.545914,48.436184,44.53747,47.37913,46.042786,56.702946,45.323803,55.61074,52.82463,58.12867,56.970848,63.275276,53.226013,57.333645,54.533848,58.388474,54.16289,53.82616,58.907303,52.681015,53.657433,0.0,0.0,0.0,0.0,0.0
116.453545,3.4857142,0.0,0.0,0.0,0.0,6.38777,6.7886376,7.2713437,3.1505497,5.71011,5.540195,2.383236,4.3387995,5.340225,5.2779264,6.506972,7.266929,7.1469574,19.643476,16.349857,22.446644,16.405333,20.68138,18.942163,15.791885,18.650887,20.163143,18.299986,17.286264,24.216183,18.51491,0.0,24.008963,26.744396,28.125927,31.968012,25.854218,28.026445,31.471437,29.575342,32.285946,27.619404,38.293385,27.772217,35.64577,33.464863,37.25544,35.714725,41.60555,34.738327,37.586586,36.015335,37.428246,36.39201,35.418373,40.145325,33.373688,37.170357,0.0,0.0,0.0,0.0,0.0
96.445435,2.3428571,0.0,0.0,0.0,0.0,6.050224,6.1147356,6.999121,4.7618437,2.6239052,3.7005827,3.6633332,2.59929,5.001068,1.9461935,5.1582065,6.278515,7.5495324,3.852928,3.081238,6.541625,7.012215,5.4749303,8.267574,7.7432146,7.983708,6.499799,8.523751,7.544789,6.4266315,8.452651,0.0,7.8863106,7.082923,5.9011936,6.0009036,5.735128,5.660944,5.632116,6.3629146,6.8004727,2.491105,7.4361267,4.2071347,4.9429865,3.324604,2.1106899,1.451092,2.2950265,3.8218687,3.5419338,1.5851502,1.2645034,5.476005,1.1394458,3.468198,0.94017184,3.5789645,0.0,0.0,0.0,0.0,0.0
89.365204,2.3428571,0.0,0.0,0.0,0.0,12.585688,10.382183,11.797517,11.33177,7.1776724,7.4457717,11.819161,7.1455717,8.532002,5.319104,9.340668,10.713863,11.04358,10.29433,9.204201,10.88553,11.246515,9.968063,11.471796,11.477574,11.881936,11.715262,13.68669,10.878111,12.625971,13.404508,0.0,14.714271,13.489493,11.637368,13.82755,11.29362,12.429868,15.56178,15.089126,15.925869,16.142159,15.48104,10.261387,12.308823,14.307525,14.250362,13.118642,14.83325,14.86267,14.45232,12.122166,13.17974,15.539581,14.396211,16.449667,15.454526,16.158134,0.0,0.0,0.0,0.0,0.0
101.11303,3.4857142,0.0,0.0,0.0,0.0,21.673273,17.562944,18.940607,19.412014,16.699858,16.48838,19.273508,13.981129,14.5381155,15.368302,16.427362,16.488848,16.544508,15.364806,13.740654,12.058026,15.647922,13.027021,12.820996,12.482259,12.506725,12.110252,13.257387,11.738321,15.732882,13.796746,0.0,12.354471,11.601984,10.529738,10.65893,8.783839,9.018951,12.350808,12.614325,11.382666,16.737814,13.906102,10.673515,11.615253,16.20204,17.918545,17.377357,18.039833,18.951017,18.525293,18.096783,20.956127,21.9603,22.099463,25.284042,25.48808,25.404255,0.0,0.0,0.0,0.0,0.0
