0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
68.07982,1.1571429,0.0,0.0,0.0,0.0,16.759682,19.49392,15.784712,17.720108,20.421516,19.681023,16.854025,23.175129,14.84753,12.875231,16.957699,14.885902,16.227055,14.771954,20.341,17.13678,14.349318,14.905722,17.057468,12.675243,13.3717785,9.342325,11.252897,17.678715,14.564261,10.055094,0.0,11.110184,14.970972,11.623391,15.162034,13.716815,10.940437,9.6598015,13.118253,9.24009,7.3258,13.295872,11.209556,15.71364,15.777166,13.891724,14.889499,12.365361,11.316814,17.19979,12.952442,13.974818,13.820419,13.9613695,8.373743,13.140418,12.069323,0.0,0.0,0.0,0.0,0.0
117.13143,8.3714285,0.0,0.0,0.0,0.0,18.108208,19.816067,13.378188,14.601055,16.3324,21.300707,18.897284,12.840024,12.306395,15.976933,15.855637,17.384117,15.216656,17.721987,15.436081,11.273913,11.73604,14.943766,14.661303,10.475933,12.030381,17.052906,12.099059,9.881446,12.023883,12.080486,0.0,12.211643,10.097683,15.274284,10.439592,9.819418,10.900653,8.640904,11.784546,9.488649,12.379812,11.074072,9.260686,7.474453,15.268646,12.89738,12.070544,14.402927,11.229212,12.103201,9.667182,16.211752,10.235819,11.614945,13.383206,13.44841,6.4675727,0.0,0.0,0.0,0.0,0.0
154.21568,8.942857,0.0,0.0,0.0,0.0,15.499011,15.839909,11.071017,11.79816,12.437396,17.861086,15.575846,10.970276,10.848849,14.4582205,13.865007,13.648844,11.805162,15.097925,11.18709,10.014954,9.335096,12.673523,10.821693,11.001475,10.448259,14.302236,10.267819,8.951114,7.408702,9.744256,0.0,9.295937,10.805872,12.623526,10.235214,11.428543,9.601416,5.574582,10.370732,8.464977,10.845592,7.9095964,7.4694424,8.936502,11.156707,11.358581,7.850274,12.071498,9.3312235,9.726947,8.833752,12.31568,8.195928,9.445303,11.9545765,12.692496,5.5055475,0.0,0.0,0.0,0.0,0.0
177.7254,8.514286,0.0,0.0,0.0,0.0,9.279042,9.057554,7.1640058,7.673397,7.8262734,10.551788,9.581902,8.767457,8.88181,10.575032,10.925898,10.611742,9.858659,12.048171,10.643324,10.898071,9.807313,11.308419,9.77453,11.33718,10.118316,10.363636,8.787175,9.822091,6.961975,8.510687,0.0,9.162103,12.043243,10.955578,11.298449,13.220653,9.774196,6.7784324,10.506108,9.282421,9.94663,7.8263426,7.761461,11.394454,8.807683,10.2167,6.706754,9.164409,7.786114,8.339384,8.103155,8.156915,6.780623,7.31995,9.110582,9.808123,5.7466397,0.0,0.0,0.0,0.0,0.0
140.44458,6.2,0.0,0.0,0.0,0.0,7.962674,7.303097,7.2792273,7.9793906,8.097485,7.9701757,8.210114,9.693512,8.928457,9.845064,9.371562,9.704519,11.725646,10.7006855,10.11055,11.865462,9.802579,10.878417,10.31726,9.886107,8.289827,7.9955707,7.41922,9.86559,8.831996,7.355703,0.0,9.863288,11.131186,9.408372,10.853358,11.634185,9.010595,8.486643,8.483578,8.000937,8.281661,7.671652,7.3137527,10.498923,7.274107,7.68249,7.5791163,6.4079533,7.151069,8.039677,6.7751756,6.817071,6.591878,6.7161255,6.602085,6.6900315,6.879735,0.0,0.0,0.0,0.0,0.0
90.84838,2.1142857,0.0,0.0,0.0,0.0,15.024691,15.317931,15.479597,16.602524,15.478369,15.511017,16.191475,15.411909,16.42886,16.555962,17.457594,17.948965,17.830025,17.56323,18.201292,17.926182,18.156437,16.481276,16.365473,16.090336,16.07749,15.309512,13.821254,15.298382,15.978749,15.094947,0.0,15.390118,14.652372,14.682093,13.671007,13.758892,13.39317,13.697282,13.173932,14.083195,12.824686,12.870291,12.127566,12.515973,12.4908285,12.317744,13.337338,12.173369,11.518843,11.574428,10.724333,11.212079,10.533046,10.8891,11.86663,10.2750845,11.719326,0.0,0.0,0.0,0.0,0.0
67.33866,2.5428572,0.0,0.0,0.0,0.0,21.0988,22.718336,21.145018,24.348312,21.933659,23.383442,23.879622,22.536192,23.454914,22.946655,23.860973,24.595104,23.45218,22.910286,23.55659,22.993696,23.260271,21.728529,21.430222,22.138605,20.868782,20.86176,18.068022,20.444868,20.026236,20.444601,0.0,18.54936,18.751907,19.25688,17.612822,16.92375,17.409101,17.32024,16.023266,17.594454,14.688578,14.131006,16.161064,15.130821,15.50721,14.5051985,16.128016,15.007002,15.028331,13.259594,13.565518,13.585305,13.804757,14.20071,15.049914,13.123013,14.755187,0.0,0.0,0.0,0.0,0.0
117.14324,5.4,0.0,0.0,0.0,0.0,22.072437,23.366615,22.37208,25.992964,23.962873,25.508108,25.486769,25.310572,26.034084,24.911848,26.350576,28.005949,26.45973,26.202696,26.949127,26.370684,26.943295,25.260416,24.968689,24.326468,24.654757,24.376747,21.501528,23.377903,21.985342,23.478823,0.0,21.918982,21.094604,22.696394,20.732063,19.806358,20.093285,21.154995,19.358852,20.901102,16.976883,15.709296,18.802711,16.353626,17.378326,15.594729,17.313667,16.058132,16.864626,14.305046,14.378957,13.842909,15.919699,15.033467,16.021395,13.652003,15.189051,0.0,0.0,0.0,0.0,0.0
144.18665,12.8,0.0,0.0,0.0,0.0,23.16646,24.090122,23.801409,26.0305,25.16117,25.347853,25.37274,25.763186,25.637125,24.820713,26.819569,27.058743,26.598246,25.830442,25.668049,25.66468,25.768084,24.383116,22.665365,22.978544,23.046232,23.098406,21.832363,22.305935,21.393028,21.614609,0.0,20.552603,19.86917,20.698624,19.698782,18.252705,18.812538,19.866175,17.78362,18.381023,17.087015,16.049572,17.045889,15.297848,16.23148,14.95609,15.219923,14.957825,15.319975,13.699368,13.95665,13.237788,15.151605,14.153047,13.74538,13.4344845,12.729052,0.0,0.0,0.0,0.0,0.0
140.60791,19.057142,0.0,0.0,0.0,0.0,26.996689,26.329105,28.558275,28.4086,28.425228,27.012129,27.347107,27.202847,27.913242,27.227564,28.706957,27.425245,27.86797,28.42968,26.637691,27.625607,27.047747,25.639233,23.427834,23.136751,23.139683,22.53311,21.980606,22.402426,22.563572,21.892946,0.0,20.448492,20.12241,20.310463,18.673729,17.798378,16.659729,17.693403,16.9654,16.773104,17.608803,17.204628,15.3737335,14.864434,15.900432,15.290315,14.703983,14.327842,14.519028,13.933001,13.687717,13.694513,13.936247,12.896957,12.324152,13.290577,12.193561,0.0,0.0,0.0,0.0,0.0
122.50161,25.914286,0.0,0.0,0.0,0.0,28.892645,28.64315,30.743084,30.02639,30.10936,28.588175,29.780981,28.139072,29.931116,30.235172,30.616844,29.237709,29.044476,29.369463,27.87213,29.469378,27.763048,26.846878,24.887001,25.158466,23.2937,23.35289,22.777637,22.974257,23.701265,23.16335,0.0,20.379011,21.413513,20.74563,19.36634,18.487347,17.714458,17.403133,17.041323,17.221819,17.909653,18.162388,16.451672,16.480604,16.724976,16.800827,15.488291,15.642538,15.278421,14.007535,14.442414,14.950863,14.301479,12.90642,13.538178,14.04356,12.191916,0.0,0.0,0.0,0.0,0.0
125.973816,18.114286,0.0,0.0,0.0,0.0,27.743214,27.260496,29.325066,28.63265,28.773565,27.545448,30.752655,27.39641,28.83439,29.00539,29.471395,30.560692,29.991034,27.852333,26.562748,28.695309,28.663656,27.847742,24.980362,24.12616,25.04139,23.376408,21.94896,22.69199,21.964832,22.525982,0.0,21.52442,21.807522,21.342575,19.157785,18.574196,18.058094,18.78855,18.82301,17.760645,17.327389,18.04062,16.88672,16.66581,16.739428,16.627691,16.519077,16.755083,16.306364,15.255995,15.460026,15.246169,15.168536,13.619336,14.854931,14.015672,13.543972,0.0,0.0,0.0,0.0,0.0
126.15682,8.885715,0.0,0.0,0.0,0.0,27.876005,26.855648,27.289238,27.98318,27.556383,27.425802,30.648111,26.90109,28.576813,28.249723,28.746323,31.17798,31.358091,27.848124,26.994513,28.668112,28.4094,28.252504,25.416445,25.424353,25.467962,24.055305,22.294086,23.59867,22.612188,22.206972,0.0,22.184437,22.365917,20.93212,19.50932,19.835228,19.80185,20.031782,19.867952,17.05389,17.137135,18.218983,16.895977,17.109137,16.2725,16.280516,16.910725,16.024254,15.525166,16.21461,16.96672,14.593291,14.543784,14.368718,14.201835,13.697445,13.956805,0.0,0.0,0.0,0.0,0.0
126.28601,2.3714285,0.0,0.0,0.0,0.0,23.953354,22.32876,22.928593,23.86782,27.55359,28.199633,30.080227,27.113894,25.08797,23.687283,28.449068,26.457457,26.19336,25.108433,24.54996,24.581476,28.35878,24.401245,23.020935,22.11282,25.049133,20.448084,19.040754,20.900997,20.181648,19.374825,0.0,19.607838,18.768408,20.667547,16.500355,17.453802,16.440588,17.44316,16.889845,14.117753,14.242686,14.566019,13.524088,14.23903,13.301706,13.186067,13.941503,11.973217,14.160547,13.281965,13.961558,11.004889,11.168546,11.938541,10.442204,10.014571,10.500115,0.0,0.0,0.0,0.0,0.0
126.253716,4.0,0.0,0.0,0.0,0.0,23.20776,23.012041,23.558214,24.466917,28.514585,29.939857,29.723185,28.659424,24.860472,23.478825,29.787851,24.326193,23.952055,25.21522,24.35592,24.488945,28.08785,21.658064,22.746756,21.084856,24.394196,19.798006,18.42286,20.404573,19.727142,18.641216,0.0,17.673916,16.63238,20.143518,15.300351,16.07646,14.4107065,15.140193,13.582619,13.843251,12.614137,12.517655,12.5480995,13.030336,12.26712,11.945032,12.095965,10.881928,13.40503,10.6876335,10.8649,9.23111,9.404744,10.118073,9.226913,8.79046,8.345665,0.0,0.0,0.0,0.0,0.0
126.253716,4.0,0.0,0.0,0.0,0.0,23.796297,25.897484,25.252575,26.53182,29.0209,28.801394,29.224703,28.894005,25.212069,25.499075,29.31614,25.2975,25.088564,25.381472,25.01855,26.185036,27.902342,24.063292,22.869865,22.008192,25.8651,20.27068,19.636106,19.83691,19.120695,20.45031,0.0,18.545902,17.9577,21.26618,17.961893,16.808285,15.808047,16.125477,14.584701,14.837864,13.971739,14.905764,14.147035,14.935839,13.97695,11.00008,13.364743,11.488685,16.286636,12.529415,9.284376,12.372445,11.729485,9.614377,9.472117,9.13327,10.512542,0.0,0.0,0.0,0.0,0.0
129.52045,4.1714287,0.0,0.0,0.0,0.0,28.145914,24.95247,29.0006,25.636053,25.63676,28.564793,28.834213,29.037403,29.16576,26.15182,29.353794,29.69937,29.599913,29.027588,23.896082,26.49412,28.047508,24.44873,26.15146,22.464296,22.688192,23.982502,20.311665,22.132862,21.97128,20.058537,0.0,21.699202,18.65225,18.594307,19.495007,17.958187,17.355154,16.633814,16.0079,17.87274,15.283071,16.449842,15.122549,15.64246,14.902707,12.026045,14.524627,12.9761715,15.778654,14.497583,10.750876,14.495977,13.867025,11.305509,10.758814,10.938785,12.684302,0.0,0.0,0.0,0.0,0.0
116.453545,3.4857142,0.0,0.0,0.0,0.0,27.062237,22.626316,28.035606,22.908197,23.85641,28.465061,28.26995,28.748348,28.684755,23.411648,29.0829,28.990402,28.577549,28.015083,22.82403,23.57655,28.4631,21.658972,25.447039,20.428036,20.665062,23.752504,18.926252,21.081917,21.702526,18.999657,0.0,21.83432,17.86287,17.253502,17.54136,16.49558,16.734999,16.000202,15.269611,18.253572,14.944005,15.081782,14.043721,15.041108,13.928676,12.054001,13.936671,13.060774,14.930645,14.394992,11.375753,13.889408,13.412592,11.356928,11.248982,11.049289,12.519866,0.0,0.0,0.0,0.0,0.0
96.445435,2.3428571,0.0,0.0,0.0,0.0,27.490883,25.188961,28.779892,25.633032,25.448483,29.16249,28.53296,28.2675,28.771423,24.376064,29.441198,29.466688,28.480164,28.940483,24.605019,24.530954,28.28935,21.220655,25.400204,21.090572,19.957426,23.779348,19.196142,21.611523,22.161314,19.02581,0.0,21.066391,18.097893,17.097137,15.561546,15.7384205,15.724207,16.106413,14.409418,17.044546,14.436596,13.098905,13.342102,13.73854,12.881944,13.040906,13.259628,13.857476,12.523536,12.317587,12.007428,11.3951845,11.751797,11.460904,12.251245,11.0400915,11.473152,0.0,0.0,0.0,0.0,0.0
89.365204,2.3428571,0.0,0.0,0.0,0.0,28.541645,31.075562,29.647173,31.843092,30.449133,30.127272,29.59832,28.872904,29.500767,29.513422,30.015501,30.20985,29.277779,30.127123,29.585772,28.831024,28.47839,25.747137,26.2988,25.929544,23.735003,23.633331,23.02702,22.422281,22.512682,22.440271,0.0,20.739008,21.175634,20.276205,18.172228,18.01958,18.01958,17.61819,16.558973,16.055843,15.421314,14.944088,15.235452,15.184542,14.235545,14.00676,14.79772,13.905819,13.921544,12.937842,12.2009735,11.918512,12.405761,11.462479,12.17743,10.597689,11.665547,0.0,0.0,0.0,0.0,0.0
101.11303,3.4857142,0.0,0.0,0.0,0.0,29.163391,30.19419,30.373837,31.880898,29.979774,30.774805,30.672558,29.559015,30.00499,29.858852,31.071312,30.741684,30.024858,30.168371,28.663866,29.113691,28.709034,26.497355,27.065777,25.742142,23.696585,23.721842,23.155611,23.467422,22.570152,21.757381,0.0,20.931486,20.66711,20.73099,19.354406,17.964218,17.92214,16.446863,16.967476,15.848443,14.896349,14.902182,15.084375,14.0204525,13.454927,14.032769,14.481771,13.381136,13.172739,11.712979,12.267978,11.163422,11.600454,11.083771,11.066728,10.006259,10.191465,0.0,0.0,0.0,0.0,0.0
107.09969,4.1714287,0.0,0.0,0.0,0.0,29.777163,30.36119,31.496918,33.09535,30.48731,31.461952,31.779503,30.431967,30.606354,30.096512,32.10731,30.559025,30.720387,30.49751,29.707947,30.161839,29.24956,27.260904,27.508627,25.945257,24.884909,24.36972,23.274155,24.201414,22.438269,23.181873,0.0,22.347034,21.502596,21.714684,20.53084,19.20086,19.369173,17.311388,17.78797,17.22446,15.644658,16.487226,15.467292,15.090524,14.871734,14.781636,15.0989065,14.344137,14.175092,13.217328,13.421241,12.794819,12.413023,12.116362,11.591301,11.152129,11.013182,0.0,0.0,0.0,0.0,0.0
