,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,timestamp
666,105.60303,4.0,0.0,0.0,0.0,0.0,27.876543,26.070023,28.125832,28.297638,28.94612,28.04412,27.266476,28.380678,27.093004,27.969257,28.436378,25.559309,28.368706,25.443768,26.988659,26.22055,24.165981,23.57195,25.002335,22.102266,22.13622,20.596586,20.466831,20.801596,21.884241,19.094296,0.0,22.21754,18.996323,18.376938,18.60404,17.499071,17.207682,13.833023,15.389011,15.757645,15.4880085,15.000196,14.362902,13.887151,13.917643,13.763633,14.604982,14.558555,11.938366,14.286465,13.438155,13.087252,12.288926,12.057359,12.926175,11.4207325,11.614809,0.0,0.0,0.0,0.0,0.0,20.3296
667,105.60303,4.0,0.0,0.0,0.0,0.0,28.902779,28.991182,29.423107,29.760687,29.94306,29.024755,28.57699,29.120634,28.126228,28.561205,30.079502,27.256416,29.178223,27.571066,28.225313,27.780731,27.20117,25.47704,25.894657,23.861696,23.623615,22.007435,22.33042,21.733603,21.413568,19.85042,0.0,22.351967,19.26212,19.03613,19.039833,17.471605,18.550257,15.396946,15.944926,16.099815,15.828462,15.446359,15.682577,14.457631,14.417575,14.727356,15.996319,15.054581,12.947938,14.308103,13.719,13.065921,12.982505,12.708962,13.612451,11.344819,11.920343,0.0,0.0,0.0,0.0,0.0,20.3353
668,105.60303,4.0,0.0,0.0,0.0,0.0,28.72669,30.667778,28.626514,30.235565,28.80933,29.698753,29.037472,28.84875,28.814999,27.757463,29.172869,28.353558,28.276285,28.26365,27.946522,27.371664,22.98772,20.993141,24.69777,24.630552,24.011696,23.111794,21.97563,21.70499,21.314188,20.683857,0.0,20.254663,19.247845,19.120712,15.451271,17.468447,15.436497,16.683998,14.521975,12.571708,14.56996,15.68226,15.712156,11.950784,15.157077,15.039861,13.470564,11.99211,14.736095,11.624129,11.324397,12.756565,13.581395,12.749155,10.574714,11.237275,10.048093,0.0,0.0,0.0,0.0,0.0,20.3408
669,105.60303,4.0,0.0,0.0,0.0,0.0,28.351755,29.826437,27.667072,29.24945,27.878742,29.180363,28.62662,29.196756,28.839561,28.294523,28.662767,28.334333,27.727087,28.891718,27.479235,26.867405,21.081547,18.838112,24.452082,24.333733,23.158287,23.12645,21.710003,21.550882,21.418465,21.33758,0.0,19.83738,19.35428,18.784954,13.779297,17.348621,13.125972,16.286243,12.6112,11.785684,14.158012,14.982253,14.818338,11.328157,15.553664,14.678294,11.380643,11.416281,14.4764385,10.041967,10.712579,12.484691,13.639915,13.084694,9.526245,11.161362,9.348268,0.0,0.0,0.0,0.0,0.0,20.3461
670,105.60303,4.0,0.0,0.0,0.0,0.0,28.223927,30.173267,27.789095,29.260666,28.718153,30.443314,29.013126,29.71936,28.365232,28.214642,28.32566,28.614847,27.581244,28.911097,28.035147,27.103004,23.321028,20.271276,24.856604,24.651602,23.82723,23.65475,22.364971,21.48093,22.268587,20.935041,0.0,20.064228,19.39673,19.057076,14.698581,18.566368,14.336158,16.701307,13.269526,13.118171,14.81293,15.4072695,15.033479,13.180574,16.22628,15.083431,13.088203,11.948957,14.910482,10.91094,12.516509,13.517415,13.564254,12.993417,9.575707,10.935597,11.070636,0.0,0.0,0.0,0.0,0.0,20.3516
671,105.60303,4.0,0.0,0.0,0.0,0.0,28.46477,30.81052,29.111763,30.24998,29.714148,31.239347,29.921679,30.537294,29.04459,28.103235,29.6593,28.648314,27.68286,28.25954,28.690006,27.660887,28.31815,26.149143,25.43485,24.56941,24.725952,23.61968,23.135607,21.577175,23.043253,20.780657,0.0,21.157726,19.718966,19.163456,18.807684,18.26383,18.338505,17.235481,17.011127,16.239367,15.86275,15.571219,14.927407,16.069847,16.641354,15.280099,17.253374,14.893573,14.804353,13.5115795,14.892659,15.387093,13.688937,13.084694,12.179546,12.057397,13.338199,0.0,0.0,0.0,0.0,0.0,20.3571
672,105.60303,4.0,0.0,0.0,0.0,0.0,29.173206,30.639294,29.493258,29.901398,29.701815,31.108257,30.553072,30.71769,29.20789,28.017935,30.43065,28.361288,27.99184,28.000397,28.394629,27.977198,27.33888,25.975906,26.358532,24.062218,25.126926,22.05216,23.137257,22.338066,23.162222,20.797016,0.0,21.46951,19.843214,19.390419,19.422716,17.856619,18.678831,17.380388,17.204082,16.341928,16.766335,16.416403,14.701849,15.135142,16.599426,15.670604,16.999043,14.591242,14.382004,14.380806,13.43639,15.840395,14.01163,12.749155,12.509039,12.886902,12.514825,0.0,0.0,0.0,0.0,0.0,20.3631
673,105.60303,4.0,0.0,0.0,0.0,0.0,29.723179,29.422338,28.526087,29.790823,28.58815,30.890509,30.152538,29.972591,28.88906,27.956469,30.74298,28.999804,28.298538,28.393517,28.295776,27.415823,28.070665,25.519442,27.530548,24.084248,24.142656,21.598677,21.139198,22.791912,22.843208,21.065937,0.0,21.362284,19.488153,19.961662,18.786612,16.956926,17.956324,16.854221,17.107738,17.45226,16.783312,16.219978,14.736907,15.474899,15.990289,15.802377,15.695974,14.601925,14.761947,14.046386,12.623881,14.315654,14.403215,12.489867,11.931546,13.004213,11.321784,0.0,0.0,0.0,0.0,0.0,20.3692
674,105.60303,4.0,0.0,0.0,0.0,0.0,29.969532,29.821323,28.023626,30.49251,28.248304,31.127369,29.3682,29.38994,28.98949,28.287981,30.999638,30.28461,28.864511,28.35708,28.849169,27.468382,28.118242,25.42472,27.188515,24.038105,24.878283,23.225922,21.776318,23.479662,23.035545,22.560547,0.0,21.234564,20.38512,20.763733,17.74123,17.996029,18.205294,17.228836,16.73061,17.481358,17.291716,16.6786,15.223539,16.312551,16.297993,16.15084,16.362906,14.912332,16.029165,13.640924,13.289924,13.689497,13.731481,12.819422,11.856339,12.109216,11.588634,0.0,0.0,0.0,0.0,0.0,20.3752
675,105.60303,4.0,0.0,0.0,0.0,0.0,29.82697,30.194351,29.101284,31.603334,29.825724,31.662209,29.92249,29.53113,29.796808,29.658281,31.206392,30.73622,29.674713,27.81639,29.004726,28.080385,27.845703,26.042864,26.226185,24.065397,24.503195,25.386986,23.104696,22.828768,23.213877,23.734493,0.0,21.805237,20.931597,19.80728,18.600853,18.781662,18.831335,18.249378,16.32628,17.130785,16.163435,16.481783,15.881884,16.591297,15.598809,16.020567,17.081692,15.170197,15.935129,14.217154,14.3152685,14.105596,12.521103,13.281122,12.598975,12.087906,12.935907,0.0,0.0,0.0,0.0,0.0,20.3811
