,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-67.20345412886569,-67.20345412886569,-63.3926964158865,-61.532752469380064,-60.35517856060416,-59.49467408150866,-60.32613280529324,-55.649166181986764,-55.63681097848148,-55.72686050910293,-55.7577872318146,-55.82845309849388,-55.851855100851864,-55.8922837602111,-55.938194961760715,-56.06542438301833,-56.144036425395825,-56.198167943750505,-56.277620690350844,-56.31415181029895,-56.397561254298424,-56.42336850673111,-56.53305004529726,-56.55648587062858,-56.65628801644586,-56.63351080242573,-56.63693719740985,-56.636937193335186,-56.66801830109986,-56.65346797374787,-56.59271366710724,-56.56218653887034,-56.528965726577056,-56.59326479474395,-56.56004398245067,-56.643465849720364,-56.70776491788727,-56.84630117172017,-56.875759004074084,-56.90880456780978,-57.00551395934374,-57.06231901675502,-57.083598592193525,-57.036173932686424,-57.025472073353185,-56.89329296930689,-56.82271186932563,-56.725801856317574,-56.628306671335295,-56.574276665389526,-56.45565231917228,-56.341271541607874,-56.2168071563092,-56.17405518503315,-56.13130321375711,-56.18303917935563,-56.147863315468115,-56.11445506701133,-56.10587630394045,-56.05070735379542,-56.04504490551826,-56.10272085160071,-56.26849078243703,-56.26849078243703
1,-65.01868592389506,-65.01868592389506,-60.82811721445614,-59.451707456424764,-58.55846367892243,-57.76629162023114,-58.90139277870048,-54.493995129587425,-54.56561373503575,-54.61809808927042,-54.70709956258752,-54.82165216203602,-55.07648671925074,-55.0850656546379,-55.16819505953051,-55.345035748421694,-55.39067291913623,-55.42338820059672,-55.46468241744437,-55.647706688894516,-55.834793332251664,-55.87762805907315,-56.0061928048293,-55.99761386944215,-56.04403289018694,-56.02423882974809,-55.97002272364641,-55.97002272364641,-56.03243996669577,-55.955683389869876,-55.776385609608795,-55.65136884701032,-55.67241795327528,-55.71173123972144,-55.61960161410873,-55.67524479671241,-55.74629879962299,-55.70559135187457,-55.690171617333306,-55.69273383409789,-55.76392520598379,-55.864684235162755,-55.833983982364636,-55.882695431699084,-55.86870208174247,-55.84866323230396,-55.783654080972056,-55.855672741747185,-55.8681631171356,-55.78429596069352,-55.676662082293696,-55.652841985192154,-55.532111875082556,-55.469792174628196,-55.4552101747552,-55.430644887467324,-55.4454914114999,-55.41251907595045,-55.3685559618845,-55.37989261522007,-55.39689759522342,-55.220793032739465,-55.35313397281185,-55.166052696476704
2,-64.80732542845986,-64.80732542845986,-61.78119693743116,-60.30130242567529,-59.34481748499452,-58.669118584672056,-60.28981270230985,-55.71729644821496,-55.7311579591052,-55.804882622799454,-55.82007365416124,-55.87016181561104,-55.85505437826961,-55.863052679734395,-55.9053250980128,-56.01278531432231,-56.040368837564735,-56.098136843084774,-56.155904848604806,-56.24669180368659,-56.333035447991314,-56.42273802173507,-56.58783394548684,-56.716556236929,-56.93545510981693,-57.02073058581111,-57.197267024589095,-57.32071590228723,-57.423905771469485,-57.51236767016292,-57.655217388084715,-57.70060792703266,-57.789069825726074,-57.91991444707089,-57.90818014415792,-57.9878083753438,-57.96603553676991,-57.987665998065445,-58.02954203941694,-57.96539899554288,-57.924970338113816,-57.975379867009224,-57.94152159974825,-57.869518882101055,-57.820254286097494,-57.78002437218877,-57.72267156724699,-57.67666527015341,-57.57213333273059,-57.55126558689629,-57.50011306444891,-57.404541350954126,-57.29714295715453,-57.22607961288511,-57.170422597358275,-57.13021000287782,-57.101347873568535,-57.06423942159946,-57.01476148564069,-56.98273898064192,-56.93470522314378,-56.85464896064686,-56.975765792414144,-56.975765792414144
3,-55.06835031995935,-55.06835031995935,-55.57665742419158,-55.8433448656899,-55.96031868212543,-55.96424154842311,-58.043032008251,-56.45760942016108,-56.45341006697629,-56.50380393851493,-56.542999171933864,-56.57435535866902,-56.554265274489765,-56.52916163455764,-56.56542595410292,-56.69435405439913,-56.7749323460758,-56.83053146455389,-56.88613058303199,-56.99974305659218,-57.081048005487446,-57.19466047904764,-57.35469197745,-57.514723475852364,-57.72541383270948,-57.80781318109636,-57.870078533846026,-57.98137105725541,-58.09216727110062,-58.13930712654509,-58.25842928763734,-58.27792885194034,-58.33143208958096,-58.384935327221584,-58.33787468297284,-58.41405778956376,-58.49024089615469,-58.566424002745606,-58.58805943507711,-58.593786479053655,-58.593786479053655,-58.61866274108098,-58.61293569710445,-58.607208653127906,-58.54634377115983,-58.477778975228,-58.40921417929617,-58.309220430186755,-58.230211175069414,-58.18205826119286,-58.10715584087476,-58.08497431324398,-57.97868394933688,-57.92271173324495,-57.85695969749796,-57.83027406758192,-57.796917030186854,-57.79892791521833,-57.76663493860684,-57.721424771350755,-57.65360952046663,-57.473102961428935,-57.53263402473514,-57.208045736502086
4,-63.51665714836174,-63.51665714836174,-65.86203773374476,-67.03472802643627,-67.73834220205117,-68.25320893368425,-71.66181430644369,-70.6471586522528,-70.63606027568598,-70.64902820946848,-70.65911438018821,-70.71294079906664,-70.74219146450557,-70.77144212994452,-70.80069279538344,-70.83767639309573,-70.87465999080803,-70.98428198615645,-71.09390398150485,-71.18649260388717,-71.2790812262695,-71.32591236634917,-71.40795080743608,-71.52816888104046,-71.61020732212737,-71.6952180947245,-71.78022886732164,-71.81840849983911,-71.83537722540242,-71.918602149353,-71.96102396326131,-72.04424888721188,-72.16586189464175,-72.20666500468403,-72.32827801211387,-72.44252120742264,-72.5567644027314,-72.67100759804015,-72.71147434350841,-72.71403658357924,-72.77708833955585,-72.80341729649442,-72.73214524464399,-72.75847420158256,-72.70395387630167,-72.6178867494123,-72.41302378794184,-72.27634663104662,-72.1289456093471,-72.0558022891209,-71.8907064474517,-71.79379641035776,-71.75993810692145,-71.59484226525224,-71.43028890702546,-71.34309836515837,-71.38260498105092,-71.33599090923381,-71.29171192148486,-71.20827360902771,-71.25358065178013,-71.10180637444995,-70.7982578197896,-70.56947020156117
5,-54.73064876487972,-54.73064876487972,-55.92507134880782,-56.37659878234682,-56.730169141713894,-56.81041298625013,-59.70267853382691,-58.11101880187385,-58.19379271143263,-58.25689839045607,-58.302345544513464,-58.46337052865512,-58.540453045265245,-58.674912728287566,-58.72951128724789,-58.9168222346313,-58.930050500365056,-58.99837939424356,-59.06944284022613,-59.28101519480621,-59.4013610819193,-59.44112820879078,-59.56368070597872,-59.68712958012452,-59.949007495267985,-60.07634565500673,-60.16002740228104,-60.29536711965261,-60.394733396434994,-60.39622045284861,-60.5012182352172,-60.505200784020886,-60.61619508019591,-60.67369269602909,-60.67369269602908,-60.66837529319485,-60.76857154913827,-60.99457017442522,-61.09049267823163,-60.988253831718495,-61.076891318760566,-61.151300049946954,-61.05739554707863,-61.083640717938444,-60.78411083758285,-60.5740819953164,-60.36829489356499,-60.076981063363306,-59.96303771105647,-59.79049169502107,-59.446581738810686,-59.21404385485795,-59.00393350851283,-58.842811078510536,-58.83832610965268,-58.90814254050516,-58.92709902407996,-58.84825994098871,-58.52057631625002,-58.60871226516839,-58.695481082026035,-58.67236875396327,-58.87401971690211,-58.26906682808559
6,-58.18406473536024,-58.18406473536024,-61.336731870084954,-63.01720935018035,-64.04019312621904,-64.64938668490312,-67.5452105014384,-67.9000615956005,-67.86890579189438,-67.90739562498024,-67.93733216182481,-67.95681176867971,-68.00581797776366,-68.00581797776366,-68.00581797776366,-68.08179405328102,-68.06997578666952,-68.15727489228428,-68.25418487473158,-68.3473669813616,-68.37519605905318,-68.41881778946288,-68.50366833406261,-68.6086687073041,-68.69351925190384,-68.75887228084227,-68.86387265408378,-68.86387265408376,-68.88751730518965,-68.89793994372755,-68.98097705886372,-69.05779641050567,-69.08880596860315,-69.10559198819949,-69.13660154629697,-69.09136015936859,-69.10814617896493,-69.18710544277873,-69.19629278938035,-69.2039457532876,-69.15554128838741,-69.1014097805346,-68.99312025626789,-68.93729559039564,-68.82453644350818,-68.8245364435082,-68.71624691924146,-68.60156185139934,-68.48687678355722,-68.32318550663116,-68.21555165851255,-68.10791781039393,-68.05444197868925,-67.94850128859008,-67.85307601411844,-67.75880967785093,-67.70655783050962,-67.64576205910045,-67.56470103055489,-67.54922800875899,-67.52601847606513,-67.48733592157538,-67.40997081259587,-67.1778754856574
7,-57.8143929097261,-57.8143929097261,-61.25413175268238,-62.94218252878895,-64.06164040312407,-64.68839268194708,-67.70626965561588,-68.14386604145949,-68.13097474274868,-68.14769383052595,-68.21753372008864,-68.2409535919113,-68.27276589188335,-68.37085340262558,-68.37800242310026,-68.44096025932559,-68.50379047991069,-68.62029606875758,-68.62347770631459,-68.71378237244946,-68.75293449942201,-68.88370274524762,-69.0144709910732,-69.09169148427723,-69.20653676341324,-69.33730500923882,-69.3964690882644,-69.45305958080316,-69.60501694244196,-69.71440485510234,-69.85020023660468,-69.82727801364325,-69.87092806071968,-69.9145781077961,-69.92779948766184,-69.90487726470042,-69.88444887310521,-69.88694270447142,-69.85580437124572,-69.81651936317746,-69.73508204641523,-69.7048204591002,-69.61464382875111,-69.52446719840205,-69.42755717481798,-69.327969096127,-69.22613656920642,-69.12430404228583,-69.02247151536524,-68.90225340170846,-68.7254127014042,-68.61372374358686,-68.4723945907904,-68.32805992603076,-68.14876355944996,-68.10337794349898,-68.04664592356029,-67.97370475506769,-67.87644986374418,-67.7402930158913,-67.72357817757117,-67.58690109056325,-67.46174789144308,-67.11634341371433
8,-65.56166344091726,-65.56166344091726,-66.45744760490346,-66.78101235800085,-66.99531835922055,-67.13818902670035,-70.03089020563058,-67.93376018680634,-67.9390408792216,-67.94300139853304,-67.94774864150425,-67.95154643588121,-67.87557033719285,-67.89897233399095,-67.9632554715715,-68.02753860915206,-68.08447310226683,-68.136937972886,-68.18940284350518,-68.24186771412435,-68.34865710930077,-68.45544650447722,-68.6118830635818,-68.71867245875822,-68.77449713847156,-68.83224773920105,-68.88807241891439,-68.94389709862772,-68.9937330273747,-69.12448529665521,-69.1244852966552,-69.19075441652504,-69.19075441652505,-69.25702353639488,-69.32329265626473,-69.31478936276463,-69.37376540556915,-69.43274144837366,-69.3891023141062,-69.31214253249361,-69.3544971048702,-69.32262747078042,-69.30752005180697,-69.2199692407749,-69.13241842974283,-69.09431390512842,-68.94663759151575,-68.79896127790308,-68.7100904459484,-68.63059998983326,-68.49364754236807,-68.35460055797645,-68.21193306062526,-68.08206674744983,-67.95220043427439,-67.87852216479877,-67.8498822121296,-67.81305941584066,-67.76396235412206,-67.69522646771603,-67.59212263810699,-67.47587137379168,-67.47587137379168,-67.47587137379168
9,-65.2717141776997,-65.2717141776997,-66.04508896475993,-66.33029717335619,-66.51488891193908,-66.74240041975345,-69.6450511562395,-67.55042134432198,-67.50796913317178,-67.56037920852013,-67.6245982160811,-67.67597342212989,-67.80287285950371,-67.91681620459447,-68.07757390922924,-68.17566140460859,-68.38613931016849,-68.5207013190462,-68.69951543643734,-68.87009433600761,-68.92124688840678,-69.07071573391602,-69.21098802494521,-69.34175637310607,-69.45826194217751,-69.57476751124895,-69.62106749283956,-69.7432833711124,-69.82127074121576,-69.891328195799,-70.11481162895554,-70.22905473643425,-70.2026472675923,-70.281838381878,-70.2514097146673,-70.24856276968197,-70.09930001427057,-70.0700456004433,-70.06306765024546,-70.0940013644891,-69.95300286171242,-69.85018399737145,-69.86322685393743,-69.79195478347017,-69.65983746223475,-69.58493501950852,-69.57899918240943,-69.46505583788463,-69.23310679868038,-69.01890324075393,-68.9404392252219,-68.78436508904295,-68.5368109427859,-68.38073680660698,-68.30873414518648,-68.20401108674022,-68.12190839093063,-68.01634778203257,-68.07227646130094,-68.00056027634464,-67.88404996646021,-67.82130105735678,-67.89156373282398,-67.71083077187743
