0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
66.40831,1.8,0.0,0.0,0.0,0.0,12.476774,15.497627,14.492492,12.522234,14.889107,13.305152,12.513632,13.113205,13.73066,14.501643,14.317708,13.536429,13.755837,15.007284,13.566457,15.684022,14.681186,13.827675,13.0121,13.879072,12.621909,14.347683,12.291612,12.171254,13.197477,13.55,0.0,13.497778,11.765637,12.427587,11.700586,11.128797,13.31014,10.959215,11.93229,12.163483,11.380817,11.844505,11.010454,10.063875,9.963374,10.989901,11.710404,12.111659,11.313196,9.578439,11.375849,11.473205,10.607058,12.528308,11.264038,11.573166,12.813336,0.0,0.0,0.0,0.0,0.0
123.81746,5.8,0.0,0.0,0.0,0.0,15.072242,11.941535,18.852608,15.48084,12.998461,15.284867,14.629056,16.927828,14.972734,15.885872,16.145575,17.848522,18.369314,15.1962595,14.007413,16.271635,13.34951,18.9184,15.70048,17.364393,15.031557,14.603509,15.346714,14.623025,16.143818,13.090986,0.0,12.4262905,15.511043,13.048419,14.925997,13.946821,12.780492,13.549064,13.395329,13.210695,13.122151,12.791246,13.235942,11.496398,11.898401,13.318157,12.497786,11.009732,12.298944,11.354048,12.82879,13.069511,13.027643,11.663551,12.058275,13.033463,11.057584,0.0,0.0,0.0,0.0,0.0
144.18665,12.8,0.0,0.0,0.0,0.0,18.69325,20.75397,21.675735,19.67139,17.667482,18.595901,24.364996,19.973866,23.364365,24.866634,24.541893,21.568737,22.493372,24.43646,23.840616,26.397861,22.533909,22.071577,20.67885,21.003845,19.707891,22.44355,22.620995,22.266842,19.715818,20.231419,0.0,19.457659,17.550098,15.798278,16.66141,15.994124,12.139095,15.866401,15.371778,13.083228,12.912784,14.477996,14.476084,13.511081,13.561861,14.407073,13.521728,10.475981,13.3809,13.724606,13.756815,14.368707,14.336794,10.937085,17.455782,14.458477,16.476915,0.0,0.0,0.0,0.0,0.0
140.5756,20.685715,0.0,0.0,0.0,0.0,19.42708,23.2712,20.866783,20.556864,23.547552,22.183556,26.645853,23.984917,29.840149,26.118149,31.177288,25.8088,22.768225,26.855515,26.39683,28.425537,29.754448,24.796654,22.10263,21.436478,21.552904,23.074759,23.962477,27.569778,20.15361,25.81116,0.0,25.158934,20.158308,21.019295,20.04215,19.07231,15.350098,18.638414,18.272867,14.644136,12.514331,17.305737,14.922697,15.307129,14.817316,15.745566,14.824542,12.063418,14.6157675,15.783471,14.861126,16.056198,15.938158,13.128458,20.948627,16.963108,20.689224,0.0,0.0,0.0,0.0,0.0
122.6308,19.4,0.0,0.0,0.0,0.0,15.185863,17.344122,15.179777,14.748011,24.318037,21.017355,20.394306,19.24411,24.361319,19.481436,24.942314,24.830809,17.398642,21.158026,20.022806,21.101152,23.966076,23.312754,17.049198,16.322067,17.636702,20.40483,19.362501,22.824835,15.112028,20.939901,0.0,20.403849,15.079582,17.58956,15.107695,15.0998125,15.442608,13.597785,14.397648,13.61581,12.195251,12.710464,13.179857,14.182982,13.095492,11.666357,13.537277,13.883601,13.146511,14.866131,10.62162,11.652083,12.084566,15.701706,20.111826,12.85912,19.995375,0.0,0.0,0.0,0.0,0.0
126.15682,8.885715,0.0,0.0,0.0,0.0,15.478013,15.048911,17.521154,19.167334,19.804256,23.64934,18.401272,20.427452,21.179384,17.746662,21.58068,28.113823,19.705881,19.485947,18.233654,20.049751,21.13216,25.156433,19.30995,18.565495,19.116135,21.25242,17.665651,19.91903,17.12133,18.300077,0.0,17.184168,16.775291,17.572916,15.48315,15.426035,15.155294,13.983621,14.534276,12.409703,13.129262,12.812777,14.357133,15.942846,15.297098,11.895599,15.659147,15.219773,14.727817,16.684397,12.88056,12.791813,14.074049,18.051462,20.48947,15.43358,20.259502,0.0,0.0,0.0,0.0,0.0
126.28601,2.3714285,0.0,0.0,0.0,0.0,15.2668295,16.727142,19.868494,21.488874,18.50858,23.209541,21.038383,21.352934,21.242577,23.477266,24.139221,28.843313,25.20959,25.267607,23.928944,27.986067,23.498388,27.465794,25.286821,25.46708,26.203,28.31847,23.947865,23.544397,23.631716,22.226597,0.0,20.726566,21.137848,20.144663,18.047344,18.100029,18.226759,15.9305315,16.350649,14.65661,15.83254,14.317702,15.517904,16.485151,15.306586,12.333827,15.44271,15.088696,14.870543,16.66087,13.202707,13.608092,14.090088,17.760973,19.178099,15.469838,20.253235,0.0,0.0,0.0,0.0,0.0
126.253716,4.0,0.0,0.0,0.0,0.0,15.075505,15.670713,18.40998,20.214972,19.17028,19.859648,20.568377,22.048857,20.427639,23.625587,25.420582,24.585999,24.98766,24.77789,23.845211,27.017904,25.033564,24.252274,24.962095,24.243181,25.246893,24.986523,23.875027,23.144403,23.19765,23.220312,0.0,20.560835,21.661806,20.5966,19.471727,18.563263,18.490543,17.154541,16.819273,19.8013,19.54618,15.500265,13.332228,13.59065,12.181266,11.888865,12.205891,12.227307,12.18454,13.75454,12.378115,13.42975,13.166897,14.706433,14.556799,14.671608,15.973906,0.0,0.0,0.0,0.0,0.0
126.253716,4.0,0.0,0.0,0.0,0.0,14.862779,14.511899,15.418896,15.834061,15.971415,14.97261,15.749497,15.5713005,14.655085,17.242435,18.342152,16.52754,18.379656,16.524143,16.638798,18.584528,17.559875,16.731365,16.824266,15.073216,15.96328,17.83036,18.084126,16.805822,16.55597,16.800009,0.0,14.922773,16.244102,16.632515,15.718448,15.291813,15.50576,14.652306,14.993059,22.337065,17.269333,11.8036175,15.724178,17.13316,15.66176,15.83396,17.020582,18.472094,17.226397,19.111025,16.9234,17.623068,18.594606,19.70958,19.85385,19.707434,21.340305,0.0,0.0,0.0,0.0,0.0
129.52045,4.1714287,0.0,0.0,0.0,0.0,14.835236,14.726311,14.444518,17.38694,15.862311,15.375487,15.889581,14.853395,14.364835,14.986879,15.412647,14.227599,15.717255,13.45085,14.188811,15.531225,15.135045,13.122199,13.2617445,11.153236,11.328544,13.940604,13.400493,13.048288,12.904398,12.761282,0.0,11.484089,12.466832,12.998298,12.79788,12.171529,11.457175,12.036946,11.841656,17.504404,11.412497,8.150563,14.050013,15.811677,14.534214,15.068162,15.981516,17.492538,16.179182,17.917078,17.64422,17.549324,19.200092,19.34583,21.181267,21.193998,21.361439,0.0,0.0,0.0,0.0,0.0
