,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,timestamp
372,105.60303,4.0,0.0,0.0,0.0,0.0,19.636002,18.129133,17.994625,18.986593,17.49,17.222454,17.464092,15.991413,16.236155,16.189884,15.840855,15.659975,14.608455,14.408993,13.280096,12.854534,13.047002,11.82373,11.6092005,11.657529,11.630641,11.049733,10.504896,11.380183,10.026964,11.981067,0.0,12.576745,12.173239,13.017856,12.014213,13.180411,13.703569,14.252808,14.212601,13.967448,13.984629,13.966538,14.341637,14.792782,15.597636,14.746617,15.738024,15.190112,15.651719,15.749806,14.805737,16.378641,14.784485,16.122723,17.080887,16.871916,16.90528,0.0,0.0,0.0,0.0,0.0,17.0352
373,105.60303,4.0,0.0,0.0,0.0,0.0,21.988306,21.579445,21.566917,21.27719,19.12709,20.495651,19.675037,18.447622,18.311686,17.135748,17.751694,17.558071,16.448557,16.082567,14.885733,14.261306,14.423342,13.305998,14.819659,12.732782,11.637922,12.483737,12.398779,12.565634,10.08954,13.518105,0.0,13.167518,12.405087,14.14282,12.822491,13.619198,13.90633,14.666825,15.420675,14.965767,15.695715,15.429752,15.308229,16.004961,16.89765,16.14483,17.693674,15.422425,17.012262,17.174934,17.207943,17.485662,14.295467,17.033329,18.396494,17.745247,18.731035,0.0,0.0,0.0,0.0,0.0,17.0404
374,105.60303,4.0,0.0,0.0,0.0,0.0,23.467304,22.777338,23.39581,22.481768,21.329603,22.444965,21.608402,20.785093,19.624298,18.296494,18.574596,18.366684,17.182953,16.73863,16.212753,14.525666,15.053977,13.4828,15.344328,13.416069,12.236497,13.318609,12.597923,12.167005,10.59676,13.389262,0.0,13.757671,12.449258,14.555797,13.272386,14.217315,14.641555,14.907754,16.012592,15.722639,16.485226,16.024067,15.196629,17.046328,17.306417,16.327518,18.529362,15.992337,17.789595,18.2168,18.607658,18.16438,15.792436,17.738222,18.893345,18.304781,19.492039,0.0,0.0,0.0,0.0,0.0,17.0464
375,105.60303,4.0,0.0,0.0,0.0,0.0,21.250113,20.662506,21.274439,19.896942,20.267752,20.84811,19.458708,19.67565,18.323574,17.228247,16.350388,16.927668,15.374724,14.497832,14.229316,13.072093,12.782866,11.659331,12.415937,12.059456,10.557052,11.513071,11.108798,9.419359,11.078301,11.413196,0.0,11.349239,10.293853,11.990812,11.496384,12.414787,13.009135,13.087832,13.895049,13.644468,14.658688,14.394157,13.518649,14.692126,14.857339,14.597289,15.527911,15.042878,16.138395,16.21352,16.89529,16.64098,16.96722,16.56962,17.402725,16.695545,17.377178,0.0,0.0,0.0,0.0,0.0,17.0526
376,105.60303,4.0,0.0,0.0,0.0,0.0,26.225584,27.05344,26.418682,26.159702,26.007835,24.925621,24.990953,24.377686,23.136295,21.911785,20.249605,21.182072,19.452482,18.525457,17.390162,16.571012,12.353629,14.598209,13.196405,14.136886,12.543202,13.066324,11.810184,11.006422,12.425736,12.970341,0.0,13.242078,13.232564,14.617645,13.519748,15.377128,16.00694,16.751993,16.202078,17.403372,16.99104,18.712967,17.781303,18.562588,14.956533,18.764208,14.932414,19.855276,20.847515,16.25591,20.681337,17.126541,21.555964,21.301365,23.161184,22.444859,17.528877,0.0,0.0,0.0,0.0,0.0,17.0582
377,105.60303,4.0,0.0,0.0,0.0,0.0,29.135538,28.450235,26.858416,27.818808,26.809214,26.145025,25.589584,25.450449,23.571033,22.742022,20.972504,21.583231,20.584429,19.692503,17.760855,17.46301,12.691244,14.704005,14.762099,13.280207,11.983704,12.088317,12.095665,11.614414,11.827356,13.030863,0.0,12.7994175,13.159453,14.029467,13.81792,15.245006,14.739897,16.612642,16.40317,17.18563,17.47431,19.73393,19.03853,18.180075,14.268325,19.196629,14.940174,20.72327,21.891096,15.581097,20.71258,17.195404,21.856531,22.143507,24.386057,23.892902,18.302382,0.0,0.0,0.0,0.0,0.0,17.0643
378,105.60303,4.0,0.0,0.0,0.0,0.0,21.11596,19.89612,18.683933,19.716173,18.589039,18.364489,17.916061,17.711765,16.08896,15.915931,14.558751,14.3035,14.615928,14.120157,12.491505,12.281505,9.216237,9.838232,10.538862,8.519156,7.8667865,7.984671,7.658892,8.191444,7.9192266,9.391438,0.0,8.835969,8.791769,9.968054,10.173265,10.751228,11.770238,13.808892,12.131427,12.391113,12.831592,14.2381935,13.509495,15.520525,13.7032175,16.210926,11.604191,15.0685625,16.019518,15.345597,17.856707,13.262694,15.846535,16.14559,17.110441,17.697542,14.777878,0.0,0.0,0.0,0.0,0.0,17.0706
379,105.60303,4.0,0.0,0.0,0.0,0.0,12.097307,10.494471,10.83281,10.851999,10.140825,10.270942,9.902392,9.754247,9.10415,8.599916,8.16098,7.4509945,8.272634,7.3637667,7.045959,6.30266,7.232221,4.8765926,5.219031,4.3938265,3.917293,4.4790964,4.1864495,4.7780194,4.7367544,5.0478806,0.0,4.5417223,4.5385413,5.434193,5.9325137,6.32373,8.264266,10.477941,7.239992,7.037134,8.287861,8.242579,8.282464,11.173824,13.241299,11.945081,9.845213,9.281128,9.36045,15.098196,13.16575,10.931488,9.99043,10.212694,10.169315,10.720587,12.59576,0.0,0.0,0.0,0.0,0.0,17.0757
380,105.60303,4.0,0.0,0.0,0.0,0.0,10.267329,11.204137,10.781004,9.796308,9.838238,10.838394,10.882796,9.600691,10.442277,8.618844,8.306104,8.067602,8.108679,6.8045692,6.394087,5.78071,6.652991,5.116175,3.7222912,4.6744213,4.8064127,4.727504,4.4488773,4.993622,4.834618,4.954065,0.0,5.229739,5.1318054,5.606541,6.2886195,7.3973913,8.9546585,10.522804,8.251833,8.185125,9.586605,9.1560955,8.837485,11.856534,12.334399,12.758997,10.462203,9.44761,11.150345,14.612886,13.786622,11.870972,11.839817,11.713391,11.400737,12.2604885,12.994778,0.0,0.0,0.0,0.0,0.0,17.0805
381,105.60303,4.0,0.0,0.0,0.0,0.0,13.961363,15.387618,14.056004,13.274025,13.813576,14.150955,14.847185,12.267041,13.576788,13.054217,11.280827,11.11324,11.163606,9.1967125,8.308398,8.08427,8.553043,6.7958107,6.369014,6.059115,6.3854036,6.0778427,6.285945,6.149136,7.2771306,6.7749944,0.0,7.630587,7.733479,8.387387,8.51478,9.208775,9.826343,10.824615,11.335953,11.691977,12.63635,12.971883,11.799115,12.604246,12.465225,13.178147,14.55313,13.25457,15.406289,15.334788,15.092201,16.275871,16.526226,16.199951,16.050253,17.117357,17.646704,0.0,0.0,0.0,0.0,0.0,17.0855
